match_id,date,round,status,home,home_id,away,away_id,score
1267460611,2026-06-15,Group Stage - 1,Finished,Belgium,1635,Egypt,28016,1 - 1
1267463164,2026-06-15,Group Stage - 1,Finished,Spain,8443,Cape Verde,1305367,0 - 0
1309691486,2026-06-15,Group Stage - 1,Finished,Sweden,5039,Tunisia,24612,5 - 1
1267458909,2026-06-14,Group Stage - 1,Finished,Ivory Coast,1278135,Ecuador,2027866,1 - 0
1267459760,2026-06-14,Group Stage - 1,Finished,Netherlands,952202,Japan,10996,2 - 2
1267458058,2026-06-14,Group Stage - 1,Finished,Germany,22059,Curaçao,4706814,7 - 1
1309690635,2026-06-14,Group Stage - 1,Finished,Australia,17804,Turkey,662011,2 - 0
1267456356,2026-06-14,Group Stage - 1,Finished,Haiti,2031270,Scotland,943692,0 - 1
1267455505,2026-06-13,Group Stage - 1,Finished,Brazil,5890,Morocco,27165,1 - 1
1267457207,2026-06-13,Group Stage - 1,Finished,Qatar,1336003,Switzerland,13549,1 - 1
1267454654,2026-06-13,Group Stage - 1,Finished,USA,2029568,Paraguay,2026164,4 - 1
1309689784,2026-06-12,Group Stage - 1,Finished,Canada,4705963,Bosnia & Herzegovina,947947,1 - 1
1309688933,2026-06-12,Group Stage - 1,Finished,South Korea,15251,Czech Republic,656054,2 - 1
1267453803,2026-06-11,Group Stage - 1,Finished,Mexico,14400,South Africa,1303665,2 - 0
