match_id,side,team,stat,value
1267474227,home,Germany,Successful Crosses,5
1267474227,home,Germany,Crosses,21
1267474227,home,Germany,Passes Own Half,216
1267474227,home,Germany,Passes Opposition Half,429
1267474227,home,Germany,Successful Long Passes,18
1267474227,home,Germany,Long Passes,31
1267474227,home,Germany,Throw-Ins,18
1267474227,home,Germany,Key Passes,14
1267474227,home,Germany,Passes Into Final Third,176
1267474227,home,Germany,Backward Passes,97
1267474227,home,Germany,Goal Kicks,4
1267474227,home,Germany,Interceptions,8
1267474227,home,Germany,Successful Tackles,17
1267474227,home,Germany,Tackles,26
1267474227,home,Germany,Clearances,14
1267474227,home,Germany,Successful Aerial Duels,10
1267474227,home,Germany,Aerial Duels,20
1267474227,home,Germany,Successful Dribbles,6
1267474227,home,Germany,Dribbles,16
1267474227,home,Germany,Shots accuracy,0.44
1267474227,home,Germany,Failed passes,69
1267474227,home,Germany,Possession,0.6
1267474227,home,Germany,Shots on target,7
1267474227,home,Germany,Corners,8
1267474227,home,Germany,Offsides,0
1267474227,home,Germany,Successful passes,555
1267474227,home,Germany,Red cards,0
1267474227,home,Germany,Shots off target,5
1267474227,home,Germany,Blocked shots,4
1267474227,home,Germany,Shots within penalty area,9
1267474227,home,Germany,Total passes,624
1267474227,home,Germany,Goalkeeper saves,1
1267474227,home,Germany,Fouls,5
1267474227,home,Germany,Yellow cards,0
1267474227,home,Germany,Shots outside penalty area,7
1267474227,away,Ivory Coast,Expected Goals,1.22
1267474227,away,Ivory Coast,Big Chances Created,2
1267474227,away,Ivory Coast,Attacks,102
1267474227,away,Ivory Coast,Free Kicks,5
1267474227,away,Ivory Coast,Expected Assists,0.8
1267474227,away,Ivory Coast,Successful Crosses,5
1267474227,away,Ivory Coast,Crosses,9
1267474227,away,Ivory Coast,Passes Own Half,229
1267474227,away,Ivory Coast,Passes Opposition Half,211
1267474227,away,Ivory Coast,Successful Long Passes,28
1267474227,away,Ivory Coast,Long Passes,57
1267474227,away,Ivory Coast,Throw-Ins,24
1267474227,away,Ivory Coast,Key Passes,6
1267474227,away,Ivory Coast,Passes Into Final Third,68
1267474227,away,Ivory Coast,Backward Passes,71
1267474227,away,Ivory Coast,Goal Kicks,7
1267474227,away,Ivory Coast,Interceptions,13
1267474227,away,Ivory Coast,Successful Tackles,11
1267474227,away,Ivory Coast,Tackles,20
1267474227,away,Ivory Coast,Clearances,26
1267474227,away,Ivory Coast,Successful Aerial Duels,10
1267474227,away,Ivory Coast,Aerial Duels,20
1267474227,away,Ivory Coast,Successful Dribbles,20
1267474227,away,Ivory Coast,Dribbles,33
1267474227,away,Ivory Coast,Shots accuracy,0.22
1267474227,away,Ivory Coast,Failed passes,64
1267474227,away,Ivory Coast,Possession,0.4
1267474227,away,Ivory Coast,Shots on target,2
1267474227,away,Ivory Coast,Corners,3
1267474227,away,Ivory Coast,Offsides,1
1267474227,away,Ivory Coast,Successful passes,367
1267474227,away,Ivory Coast,Red cards,0
1267474227,away,Ivory Coast,Shots off target,2
1267474227,away,Ivory Coast,Blocked shots,5
1267474227,away,Ivory Coast,Shots within penalty area,6
1267474227,away,Ivory Coast,Total passes,431
1267474227,away,Ivory Coast,Goalkeeper saves,5
1267474227,away,Ivory Coast,Fouls,7
1267474227,away,Ivory Coast,Yellow cards,0
1267474227,away,Ivory Coast,Shots outside penalty area,3
1309695741,home,Netherlands,Expected Goals,2.61
1309695741,home,Netherlands,Big Chances Created,3
1309695741,home,Netherlands,Attacks,104
1309695741,home,Netherlands,Free Kicks,11
1309695741,home,Netherlands,Expected Assists,1.43
1309695741,home,Netherlands,Successful Crosses,3
1309695741,home,Netherlands,Crosses,16
1309695741,home,Netherlands,Passes Own Half,216
1309695741,home,Netherlands,Passes Opposition Half,249
1309695741,home,Netherlands,Successful Long Passes,18
1309695741,home,Netherlands,Long Passes,35
1309695741,home,Netherlands,Throw-Ins,13
1309695741,home,Netherlands,Key Passes,9
1309695741,home,Netherlands,Passes Into Final Third,75
1309695741,home,Netherlands,Backward Passes,70
1309695741,home,Netherlands,Goal Kicks,11
1309695741,home,Netherlands,Interceptions,8
1309695741,home,Netherlands,Successful Tackles,8
1309695741,home,Netherlands,Tackles,15
1309695741,home,Netherlands,Clearances,24
1309695741,home,Netherlands,Successful Aerial Duels,14
1309695741,home,Netherlands,Aerial Duels,27
1309695741,home,Netherlands,Successful Dribbles,3
1309695741,home,Netherlands,Dribbles,13
1309695741,home,Netherlands,Shots accuracy,0.7
1309695741,home,Netherlands,Failed passes,51
1309695741,home,Netherlands,Possession,0.51
1309695741,home,Netherlands,Shots on target,7
1309695741,home,Netherlands,Corners,2
1309695741,home,Netherlands,Offsides,3
1309695741,home,Netherlands,Successful passes,398
1309695741,home,Netherlands,Red cards,0
1309695741,home,Netherlands,Shots off target,2
1309695741,home,Netherlands,Blocked shots,1
1309695741,home,Netherlands,Shots within penalty area,6
1309695741,home,Netherlands,Total passes,449
1309695741,home,Netherlands,Goalkeeper saves,7
1309695741,home,Netherlands,Fouls,9
1309695741,home,Netherlands,Yellow cards,0
1309695741,home,Netherlands,Shots outside penalty area,4
1309695741,away,Sweden,Expected Goals,1.01
1309695741,away,Sweden,Big Chances Created,2
1309695741,away,Sweden,Attacks,77
1309695741,away,Sweden,Free Kicks,9
1309695741,away,Sweden,Expected Assists,0.77
1309695741,away,Sweden,Successful Crosses,3
1309695741,away,Sweden,Crosses,21
1309695741,away,Sweden,Passes Own Half,232
1309695741,away,Sweden,Passes Opposition Half,214
1309695741,away,Sweden,Successful Long Passes,6
1309695741,away,Sweden,Long Passes,30
1309695741,away,Sweden,Throw-Ins,22
1309695741,away,Sweden,Key Passes,15
1309695741,away,Sweden,Passes Into Final Third,87
1309695741,away,Sweden,Backward Passes,50
1309695741,away,Sweden,Goal Kicks,11
1309695741,away,Sweden,Interceptions,5
1309695741,away,Sweden,Successful Tackles,9
1309695741,away,Sweden,Tackles,18
1309695741,away,Sweden,Clearances,14
1309695741,away,Sweden,Successful Aerial Duels,13
1309695741,away,Sweden,Aerial Duels,27
1309695741,away,Sweden,Successful Dribbles,7
1309695741,away,Sweden,Dribbles,12
1309695741,away,Sweden,Shots accuracy,0.5
1309695741,away,Sweden,Failed passes,64
1309695741,away,Sweden,Possession,0.49
1309695741,away,Sweden,Shots on target,8
1309695741,away,Sweden,Corners,5
1309695741,away,Sweden,Offsides,3
1309695741,away,Sweden,Successful passes,361
1309695741,away,Sweden,Red cards,0
1309695741,away,Sweden,Shots off target,5
1309695741,away,Sweden,Blocked shots,3
1309695741,away,Sweden,Shots within penalty area,7
1309695741,away,Sweden,Total passes,425
1309695741,away,Sweden,Goalkeeper saves,2
1309695741,away,Sweden,Fouls,12
1309695741,away,Sweden,Yellow cards,3
1309695741,away,Sweden,Shots outside penalty area,9
1309694890,home,Turkey,Expected Goals,2.17
1309694890,home,Turkey,Big Chances Created,5
1309694890,home,Turkey,Attacks,154
1309694890,home,Turkey,Free Kicks,15
1309694890,home,Turkey,Expected Assists,2.03
1309694890,home,Turkey,Successful Crosses,8
1309694890,home,Turkey,Crosses,42
1309694890,home,Turkey,Passes Own Half,184
1309694890,home,Turkey,Passes Opposition Half,487
1309694890,home,Turkey,Successful Long Passes,28
1309694890,home,Turkey,Long Passes,42
1309694890,home,Turkey,Throw-Ins,34
1309694890,home,Turkey,Key Passes,26
1309694890,home,Turkey,Passes Into Final Third,261
1309694890,home,Turkey,Backward Passes,82
1309694890,home,Turkey,Goal Kicks,3
1309694890,home,Turkey,Interceptions,6
1309694890,home,Turkey,Successful Tackles,11
1309694890,home,Turkey,Tackles,17
1309694890,home,Turkey,Clearances,29
1309694890,home,Turkey,Successful Aerial Duels,15
1309694890,home,Turkey,Aerial Duels,35
1309694890,home,Turkey,Successful Dribbles,13
1309694890,home,Turkey,Dribbles,27
1309694890,home,Turkey,Shots accuracy,0.16
1309694890,home,Turkey,Failed passes,70
1309694890,home,Turkey,Possession,0.78
1309694890,home,Turkey,Shots on target,5
1309694890,home,Turkey,Corners,12
1309694890,home,Turkey,Offsides,2
1309694890,home,Turkey,Successful passes,559
1309694890,home,Turkey,Red cards,0
1309694890,home,Turkey,Shots off target,15
1309694890,home,Turkey,Blocked shots,12
1309694890,home,Turkey,Shots within penalty area,16
1309694890,home,Turkey,Total passes,629
1309694890,home,Turkey,Goalkeeper saves,1
1309694890,home,Turkey,Fouls,14
1309694890,home,Turkey,Yellow cards,1
1309694890,home,Turkey,Shots outside penalty area,16
1309694890,away,Paraguay,Expected Goals,0.32
1309694890,away,Paraguay,Big Chances Created,0
1309694890,away,Paraguay,Attacks,60
1309694890,away,Paraguay,Free Kicks,13
1309694890,away,Paraguay,Expected Assists,0.19
1309694890,away,Paraguay,Successful Crosses,2
1309694890,away,Paraguay,Crosses,6
1309694890,away,Paraguay,Passes Own Half,65
1309694890,away,Paraguay,Passes Opposition Half,119
1309694890,away,Paraguay,Successful Long Passes,22
1309694890,away,Paraguay,Long Passes,64
1309694890,away,Paraguay,Throw-Ins,18
1309694890,away,Paraguay,Key Passes,5
1309694890,away,Paraguay,Passes Into Final Third,25
1309694890,away,Paraguay,Backward Passes,15
1309694890,away,Paraguay,Goal Kicks,13
1309694890,away,Paraguay,Interceptions,9
1309694890,away,Paraguay,Successful Tackles,15
1309694890,away,Paraguay,Tackles,25
1309694890,away,Paraguay,Clearances,48
1309694890,away,Paraguay,Successful Aerial Duels,20
1309694890,away,Paraguay,Aerial Duels,35
1309694890,away,Paraguay,Successful Dribbles,15
1309694890,away,Paraguay,Dribbles,25
1309694890,away,Paraguay,Shots accuracy,0.29
1309694890,away,Paraguay,Failed passes,82
1309694890,away,Paraguay,Possession,0.22
1309694890,away,Paraguay,Shots on target,2
1309694890,away,Paraguay,Corners,0
1309694890,away,Paraguay,Offsides,3
1309694890,away,Paraguay,Successful passes,96
1309694890,away,Paraguay,Red cards,1
1309694890,away,Paraguay,Shots off target,3
1309694890,away,Paraguay,Blocked shots,2
1309694890,away,Paraguay,Shots within penalty area,3
1309694890,away,Paraguay,Total passes,178
1309694890,away,Paraguay,Goalkeeper saves,5
1309694890,away,Paraguay,Fouls,15
1309694890,away,Paraguay,Yellow cards,1
1309694890,away,Paraguay,Shots outside penalty area,4
1267470823,home,Brazil,Expected Goals,1.75
1267470823,home,Brazil,Big Chances Created,5
1267470823,home,Brazil,Attacks,102
1267470823,home,Brazil,Free Kicks,13
1267470823,home,Brazil,Expected Assists,1.15
1267470823,home,Brazil,Successful Crosses,1
1267470823,home,Brazil,Crosses,9
1267470823,home,Brazil,Passes Own Half,294
1267470823,home,Brazil,Passes Opposition Half,240
1267470823,home,Brazil,Successful Long Passes,20
1267470823,home,Brazil,Long Passes,44
1267470823,home,Brazil,Throw-Ins,20
1267470823,home,Brazil,Key Passes,6
1267470823,home,Brazil,Passes Into Final Third,71
1267470823,home,Brazil,Backward Passes,71
1267470823,home,Brazil,Goal Kicks,5
1267470823,home,Brazil,Interceptions,10
1267470823,home,Brazil,Successful Tackles,10
1267470823,home,Brazil,Tackles,21
1267470823,home,Brazil,Clearances,14
1267470823,home,Brazil,Successful Aerial Duels,14
1267470823,home,Brazil,Aerial Duels,24
1267470823,home,Brazil,Successful Dribbles,4
1267470823,home,Brazil,Dribbles,15
1267470823,home,Brazil,Shots accuracy,0.63
1267470823,home,Brazil,Failed passes,63
1267470823,home,Brazil,Possession,0.57
1267470823,home,Brazil,Shots on target,5
1267470823,home,Brazil,Corners,4
1267470823,home,Brazil,Offsides,8
1267470823,home,Brazil,Successful passes,462
1267470823,home,Brazil,Red cards,0
1267470823,home,Brazil,Shots off target,2
1267470823,home,Brazil,Blocked shots,1
1267470823,home,Brazil,Shots within penalty area,8
1267470823,home,Brazil,Total passes,525
1267470823,home,Brazil,Goalkeeper saves,3
1267470823,home,Brazil,Fouls,13
1267470823,home,Brazil,Yellow cards,1
1267470823,home,Brazil,Shots outside penalty area,0
1267470823,away,Haiti,Expected Goals,0.23
1267470823,away,Haiti,Big Chances Created,0
1267470823,away,Haiti,Attacks,98
1267470823,away,Haiti,Free Kicks,13
1267470823,away,Haiti,Expected Assists,0.33
1267470823,away,Haiti,Successful Crosses,3
1267470823,away,Haiti,Crosses,11
1267470823,away,Haiti,Passes Own Half,176
1267470823,away,Haiti,Passes Opposition Half,234
1267470823,away,Haiti,Successful Long Passes,31
1267470823,away,Haiti,Long Passes,56
1267470823,away,Haiti,Throw-Ins,14
1267470823,away,Haiti,Key Passes,5
1267470823,away,Haiti,Passes Into Final Third,61
1267470823,away,Haiti,Backward Passes,59
1267470823,away,Haiti,Goal Kicks,5
1267470823,away,Haiti,Interceptions,9
1267470823,away,Haiti,Successful Tackles,10
1267470823,away,Haiti,Tackles,16
1267470823,away,Haiti,Clearances,22
1267470823,away,Haiti,Successful Aerial Duels,10
1267470823,away,Haiti,Aerial Duels,24
1267470823,away,Haiti,Successful Dribbles,3
1267470823,away,Haiti,Dribbles,17
1267470823,away,Haiti,Shots accuracy,0.43
1267470823,away,Haiti,Failed passes,67
1267470823,away,Haiti,Possession,0.43
1267470823,away,Haiti,Shots on target,3
1267470823,away,Haiti,Corners,4
1267470823,away,Haiti,Offsides,4
1267470823,away,Haiti,Successful passes,332
1267470823,away,Haiti,Red cards,0
1267470823,away,Haiti,Shots off target,3
1267470823,away,Haiti,Blocked shots,1
1267470823,away,Haiti,Shots within penalty area,4
1267470823,away,Haiti,Total passes,399
1267470823,away,Haiti,Goalkeeper saves,2
1267470823,away,Haiti,Fouls,14
1267470823,away,Haiti,Yellow cards,3
1267470823,away,Haiti,Shots outside penalty area,3
1267471674,home,Scotland,Expected Goals,0.51
1267471674,home,Scotland,Big Chances Created,1
1267471674,home,Scotland,Attacks,67
1267471674,home,Scotland,Free Kicks,7
1267471674,home,Scotland,Expected Assists,0.43
1267471674,home,Scotland,Successful Crosses,3
1267471674,home,Scotland,Crosses,13
1267471674,home,Scotland,Passes Own Half,266
1267471674,home,Scotland,Passes Opposition Half,203
1267471674,home,Scotland,Successful Long Passes,20
1267471674,home,Scotland,Long Passes,47
1267471674,home,Scotland,Throw-Ins,9
1267471674,home,Scotland,Key Passes,5
1267471674,home,Scotland,Passes Into Final Third,59
1267471674,home,Scotland,Backward Passes,71
1267471674,home,Scotland,Goal Kicks,7
1267471674,home,Scotland,Interceptions,9
1267471674,home,Scotland,Successful Tackles,12
1267471674,home,Scotland,Tackles,20
1267471674,home,Scotland,Clearances,17
1267471674,home,Scotland,Successful Aerial Duels,7
1267471674,home,Scotland,Aerial Duels,16
1267471674,home,Scotland,Successful Dribbles,4
1267471674,home,Scotland,Dribbles,6
1267471674,home,Scotland,Shots accuracy,0
1267471674,home,Scotland,Failed passes,68
1267471674,home,Scotland,Possession,0.41
1267471674,home,Scotland,Shots on target,0
1267471674,home,Scotland,Corners,2
1267471674,home,Scotland,Offsides,1
1267471674,home,Scotland,Successful passes,388
1267471674,home,Scotland,Red cards,0
1267471674,home,Scotland,Shots off target,3
1267471674,home,Scotland,Blocked shots,3
1267471674,home,Scotland,Shots within penalty area,5
1267471674,home,Scotland,Total passes,456
1267471674,home,Scotland,Goalkeeper saves,1
1267471674,home,Scotland,Fouls,11
1267471674,home,Scotland,Yellow cards,1
1267471674,home,Scotland,Shots outside penalty area,1
1267471674,away,Morocco,Expected Goals,0.99
1267471674,away,Morocco,Big Chances Created,3
1267471674,away,Morocco,Attacks,86
1267471674,away,Morocco,Free Kicks,10
1267471674,away,Morocco,Expected Assists,0.97
1267471674,away,Morocco,Successful Crosses,2
1267471674,away,Morocco,Crosses,10
1267471674,away,Morocco,Passes Own Half,373
1267471674,away,Morocco,Passes Opposition Half,307
1267471674,away,Morocco,Successful Long Passes,14
1267471674,away,Morocco,Long Passes,44
1267471674,away,Morocco,Throw-Ins,19
1267471674,away,Morocco,Key Passes,12
1267471674,away,Morocco,Passes Into Final Third,96
1267471674,away,Morocco,Backward Passes,116
1267471674,away,Morocco,Goal Kicks,7
1267471674,away,Morocco,Interceptions,5
1267471674,away,Morocco,Successful Tackles,6
1267471674,away,Morocco,Tackles,10
1267471674,away,Morocco,Clearances,14
1267471674,away,Morocco,Successful Aerial Duels,9
1267471674,away,Morocco,Aerial Duels,16
1267471674,away,Morocco,Successful Dribbles,5
1267471674,away,Morocco,Dribbles,18
1267471674,away,Morocco,Shots accuracy,0.17
1267471674,away,Morocco,Failed passes,70
1267471674,away,Morocco,Possession,0.59
1267471674,away,Morocco,Shots on target,2
1267471674,away,Morocco,Corners,5
1267471674,away,Morocco,Offsides,0
1267471674,away,Morocco,Successful passes,600
1267471674,away,Morocco,Red cards,0
1267471674,away,Morocco,Shots off target,6
1267471674,away,Morocco,Blocked shots,4
1267471674,away,Morocco,Shots within penalty area,9
1267471674,away,Morocco,Total passes,670
1267471674,away,Morocco,Goalkeeper saves,0
1267471674,away,Morocco,Fouls,8
1267471674,away,Morocco,Yellow cards,1
1267471674,away,Morocco,Shots outside penalty area,3
1267472525,home,USA,Expected Goals,1.08
1267472525,home,USA,Big Chances Created,2
1267472525,home,USA,Attacks,113
1267472525,home,USA,Free Kicks,15
1267472525,home,USA,Expected Assists,1.13
1267472525,home,USA,Successful Crosses,4
1267472525,home,USA,Crosses,14
1267472525,home,USA,Passes Own Half,244
1267472525,home,USA,Passes Opposition Half,293
1267472525,home,USA,Successful Long Passes,26
1267472525,home,USA,Long Passes,59
1267472525,home,USA,Throw-Ins,18
1267472525,home,USA,Key Passes,9
1267472525,home,USA,Passes Into Final Third,103
1267472525,home,USA,Backward Passes,83
1267472525,home,USA,Goal Kicks,10
1267472525,home,USA,Interceptions,20
1267472525,home,USA,Successful Tackles,8
1267472525,home,USA,Tackles,20
1267472525,home,USA,Clearances,31
1267472525,home,USA,Successful Aerial Duels,15
1267472525,home,USA,Aerial Duels,42
1267472525,home,USA,Successful Dribbles,11
1267472525,home,USA,Dribbles,17
1267472525,home,USA,Shots accuracy,0.2
1267472525,home,USA,Failed passes,79
1267472525,home,USA,Possession,0.62
1267472525,home,USA,Shots on target,2
1267472525,home,USA,Corners,7
1267472525,home,USA,Offsides,1
1267472525,home,USA,Successful passes,444
1267472525,home,USA,Red cards,0
1267472525,home,USA,Shots off target,2
1267472525,home,USA,Blocked shots,6
1267472525,home,USA,Shots within penalty area,8
1267472525,home,USA,Total passes,523
1267472525,home,USA,Goalkeeper saves,2
1267472525,home,USA,Fouls,12
1267472525,home,USA,Yellow cards,3
1267472525,home,USA,Shots outside penalty area,2
1267472525,away,Australia,Expected Goals,0.35
1267472525,away,Australia,Big Chances Created,0
1267472525,away,Australia,Attacks,79
1267472525,away,Australia,Free Kicks,11
1267472525,away,Australia,Expected Assists,0.39
1267472525,away,Australia,Successful Crosses,4
1267472525,away,Australia,Crosses,19
1267472525,away,Australia,Passes Own Half,144
1267472525,away,Australia,Passes Opposition Half,185
1267472525,away,Australia,Successful Long Passes,19
1267472525,away,Australia,Long Passes,46
1267472525,away,Australia,Throw-Ins,22
1267472525,away,Australia,Key Passes,3
1267472525,away,Australia,Passes Into Final Third,53
1267472525,away,Australia,Backward Passes,41
1267472525,away,Australia,Goal Kicks,4
1267472525,away,Australia,Interceptions,6
1267472525,away,Australia,Successful Tackles,11
1267472525,away,Australia,Tackles,13
1267472525,away,Australia,Clearances,24
1267472525,away,Australia,Successful Aerial Duels,27
1267472525,away,Australia,Aerial Duels,42
1267472525,away,Australia,Successful Dribbles,14
1267472525,away,Australia,Dribbles,25
1267472525,away,Australia,Shots accuracy,0.4
1267472525,away,Australia,Failed passes,91
1267472525,away,Australia,Possession,0.38
1267472525,away,Australia,Shots on target,2
1267472525,away,Australia,Corners,4
1267472525,away,Australia,Offsides,0
1267472525,away,Australia,Successful passes,219
1267472525,away,Australia,Red cards,0
1267472525,away,Australia,Shots off target,3
1267472525,away,Australia,Blocked shots,0
1267472525,away,Australia,Shots within penalty area,3
1267472525,away,Australia,Total passes,310
1267472525,away,Australia,Goalkeeper saves,1
1267472525,away,Australia,Fouls,16
1267472525,away,Australia,Yellow cards,4
1267472525,away,Australia,Shots outside penalty area,2
1267469972,home,Mexico,Expected Goals,0.53
1267469972,home,Mexico,Big Chances Created,2
1267469972,home,Mexico,Attacks,91
1267469972,home,Mexico,Free Kicks,7
1267469972,home,Mexico,Expected Assists,0.31
1267469972,home,Mexico,Successful Crosses,4
1267469972,home,Mexico,Crosses,6
1267469972,home,Mexico,Passes Own Half,257
1267469972,home,Mexico,Passes Opposition Half,176
1267469972,home,Mexico,Successful Long Passes,16
1267469972,home,Mexico,Long Passes,56
1267469972,home,Mexico,Throw-Ins,17
1267469972,home,Mexico,Key Passes,6
1267469972,home,Mexico,Passes Into Final Third,39
1267469972,home,Mexico,Backward Passes,76
1267469972,home,Mexico,Goal Kicks,5
1267469972,home,Mexico,Interceptions,6
1267469972,home,Mexico,Successful Tackles,7
1267469972,home,Mexico,Tackles,14
1267469972,home,Mexico,Clearances,20
1267469972,home,Mexico,Successful Aerial Duels,15
1267469972,home,Mexico,Aerial Duels,28
1267469972,home,Mexico,Successful Dribbles,6
1267469972,home,Mexico,Dribbles,10
1267469972,home,Mexico,Shots accuracy,0.5
1267469972,home,Mexico,Failed passes,78
1267469972,home,Mexico,Possession,0.42
1267469972,home,Mexico,Shots on target,4
1267469972,home,Mexico,Corners,0
1267469972,home,Mexico,Offsides,3
1267469972,home,Mexico,Successful passes,349
1267469972,home,Mexico,Red cards,0
1267469972,home,Mexico,Shots off target,3
1267469972,home,Mexico,Blocked shots,1
1267469972,home,Mexico,Shots within penalty area,5
1267469972,home,Mexico,Total passes,427
1267469972,home,Mexico,Goalkeeper saves,2
1267469972,home,Mexico,Fouls,9
1267469972,home,Mexico,Yellow cards,0
1267469972,home,Mexico,Shots outside penalty area,3
1267469972,away,South Korea,Expected Goals,0.91
1267469972,away,South Korea,Big Chances Created,3
1267469972,away,South Korea,Attacks,106
1267469972,away,South Korea,Free Kicks,8
1267469972,away,South Korea,Expected Assists,0.8
1267469972,away,South Korea,Successful Crosses,5
1267469972,away,South Korea,Crosses,9
1267469972,away,South Korea,Passes Own Half,327
1267469972,away,South Korea,Passes Opposition Half,260
1267469972,away,South Korea,Successful Long Passes,23
1267469972,away,South Korea,Long Passes,64
1267469972,away,South Korea,Throw-Ins,25
1267469972,away,South Korea,Key Passes,6
1267469972,away,South Korea,Passes Into Final Third,67
1267469972,away,South Korea,Backward Passes,102
1267469972,away,South Korea,Goal Kicks,5
1267469972,away,South Korea,Interceptions,5
1267469972,away,South Korea,Successful Tackles,10
1267469972,away,South Korea,Tackles,17
1267469972,away,South Korea,Clearances,12
1267469972,away,South Korea,Successful Aerial Duels,13
1267469972,away,South Korea,Aerial Duels,28
1267469972,away,South Korea,Successful Dribbles,9
1267469972,away,South Korea,Dribbles,17
1267469972,away,South Korea,Shots accuracy,0.22
1267469972,away,South Korea,Failed passes,90
1267469972,away,South Korea,Possession,0.58
1267469972,away,South Korea,Shots on target,2
1267469972,away,South Korea,Corners,2
1267469972,away,South Korea,Offsides,6
1267469972,away,South Korea,Successful passes,488
1267469972,away,South Korea,Red cards,0
1267469972,away,South Korea,Shots off target,4
1267469972,away,South Korea,Blocked shots,3
1267469972,away,South Korea,Shots within penalty area,6
1267469972,away,South Korea,Total passes,578
1267469972,away,South Korea,Goalkeeper saves,3
1267469972,away,South Korea,Fouls,7
1267469972,away,South Korea,Yellow cards,2
1267469972,away,South Korea,Shots outside penalty area,3
1267469121,home,Canada,Expected Goals,4.6
1267469121,home,Canada,Big Chances Created,6
1267469121,home,Canada,Attacks,132
1267469121,home,Canada,Free Kicks,10
1267469121,home,Canada,Expected Assists,3.86
1267469121,home,Canada,Successful Crosses,13
1267469121,home,Canada,Crosses,55
1267469121,home,Canada,Passes Own Half,78
1267469121,home,Canada,Passes Opposition Half,544
1267469121,home,Canada,Successful Long Passes,10
1267469121,home,Canada,Long Passes,16
1267469121,home,Canada,Throw-Ins,23
1267469121,home,Canada,Key Passes,21
